customerID,tenure,MonthlyCharges,TotalCharges,Contract,InternetService,PaymentMethod,gender,SeniorCitizen,churn,avg_charge
CUST100000,5,43.66,225.23,Two year,Fiber optic,Mailed check,Male,No,1,45.046
CUST100001,36,45.19,1677.07,Month-to-month,DSL,Bank transfer,Female,No,1,46.585277777777776
CUST100002,15,63.21,911.35,One year,Fiber optic,Electronic check,Female,No,0,60.75666666666667
CUST100003,10,81.02,809.55,Month-to-month,Fiber optic,Electronic check,Male,No,1,80.955
CUST100004,2,97.41,207.63,Month-to-month,No,Credit card,Female,No,1,103.815
CUST100005,2,45.9,94.26,Month-to-month,Fiber optic,Electronic check,Male,No,0,47.13
CUST100006,0,114.78,-2.26,Two year,No,Electronic check,Female,No,0,-2.26
CUST100007,24,61.87,1458.9,Month-to-month,Fiber optic,Mailed check,Male,No,0,60.7875
CUST100008,11,69.36,767.62,Two year,DSL,Bank transfer,Male,No,0,69.78363636363636
CUST100009,14,47.58,650.98,Month-to-month,DSL,Credit card,Female,No,0,46.49857142857143
CUST100010,0,10.0,-43.8,Month-to-month,Fiber optic,Credit card,Male,Yes,1,-43.8
CUST100011,42,96.52,4077.73,Month-to-month,No,Electronic check,Male,No,1,97.08880952380953
CUST100012,21,92.11,1953.48,One year,No,Mailed check,Male,No,0,93.02285714285715
CUST100013,2,61.56,124.15,Month-to-month,DSL,Electronic check,Female,Yes,0,62.075
CUST100014,2,72.01,148.6,Two year,DSL,Electronic check,Female,No,1,74.3
CUST100015,2,85.48,192.45,Two year,DSL,Credit card,Male,No,1,96.225
CUST100016,4,23.12,96.97,Two year,No,Electronic check,Male,No,1,24.2425
CUST100017,8,54.13,451.12,Month-to-month,No,Electronic check,Female,No,0,56.39
CUST100018,6,93.83,557.03,One year,Fiber optic,Mailed check,Female,No,1,92.83833333333332
CUST100019,4,32.37,155.72,One year,Fiber optic,Credit card,Female,No,1,38.93
CUST100020,11,78.81,873.33,Month-to-month,Fiber optic,Bank transfer,Male,No,1,79.39363636363636
CUST100021,1,29.3,33.18,One year,Fiber optic,Mailed check,Female,No,0,33.18
CUST100022,4,83.99,310.56,Month-to-month,DSL,Mailed check,Male,No,1,77.64
CUST100023,5,68.93,350.39,Month-to-month,Fiber optic,Mailed check,Female,No,1,70.078
CUST100024,7,21.55,134.21,Month-to-month,DSL,Credit card,Male,No,0,19.172857142857143
CUST100025,18,104.94,1876.15,Month-to-month,DSL,Electronic check,Female,No,1,104.23055555555555
CUST100026,2,47.96,79.61,Month-to-month,No,Bank transfer,Male,No,1,39.805
CUST100027,8,45.69,344.2,Month-to-month,Fiber optic,Credit card,Female,No,1,43.025
CUST100028,10,76.02,802.7,One year,Fiber optic,Electronic check,Female,No,1,80.27000000000001
CUST100029,0,104.46,26.63,Month-to-month,Fiber optic,Mailed check,Male,No,1,26.63
CUST100030,11,39.53,473.24,Month-to-month,Fiber optic,Credit card,Female,No,1,43.02181818181818
CUST100031,2,71.85,119.24,Month-to-month,Fiber optic,Electronic check,Female,No,1,59.62
CUST100032,0,82.86,1.43,Month-to-month,Fiber optic,Bank transfer,Female,No,1,1.43
CUST100033,35,90.79,3151.78,One year,Fiber optic,Bank transfer,Female,No,0,90.05085714285715
CUST100034,40,75.29,2997.69,Month-to-month,Fiber optic,Electronic check,Male,No,1,74.94225
CUST100035,19,58.99,1102.45,One year,DSL,Credit card,Male,No,1,58.02368421052632
CUST100036,4,45.17,205.47,Month-to-month,DSL,Mailed check,Female,No,0,51.3675
CUST100037,1,72.58,64.66,One year,Fiber optic,Electronic check,Male,No,1,64.66
CUST100038,13,37.84,513.29,Month-to-month,DSL,Mailed check,Male,No,1,39.48384615384615
CUST100039,6,10.0,72.08,Month-to-month,Fiber optic,Bank transfer,Male,No,1,12.013333333333334
CUST100040,1,83.1,129.17,One year,DSL,Electronic check,Male,No,1,129.17
CUST100041,8,97.12,747.37,Month-to-month,DSL,Bank transfer,Male,Yes,1,93.42125
CUST100042,0,10.0,25.18,One year,Fiber optic,Mailed check,Female,No,1,25.18
CUST100043,28,39.71,1134.81,One year,No,Mailed check,Male,No,1,40.52892857142857
CUST100044,3,88.57,246.24,Month-to-month,DSL,Electronic check,Female,No,1,82.08
CUST100045,13,131.72,1732.5,Month-to-month,Fiber optic,Electronic check,Male,No,1,133.26923076923077
CUST100046,4,70.62,289.2,Month-to-month,Fiber optic,Electronic check,Female,No,1,72.3
CUST100047,8,48.16,380.73,Two year,DSL,Bank transfer,Female,No,1,47.59125
CUST100048,9,64.51,564.11,One year,Fiber optic,Mailed check,Female,No,1,62.67888888888889
CUST100049,2,111.25,208.12,Month-to-month,Fiber optic,Mailed check,Male,Yes,1,104.06
CUST100050,41,50.62,2116.42,Month-to-month,Fiber optic,Bank transfer,Male,No,0,51.620000000000005
CUST100051,17,46.02,782.35,Month-to-month,No,Electronic check,Female,No,1,46.02058823529412
CUST100052,33,55.52,1847.8,One year,DSL,Credit card,Female,No,0,55.99393939393939
CUST100053,27,41.4,1101.98,Month-to-month,DSL,Electronic check,Male,Yes,1,40.81407407407408
CUST100054,10,73.68,721.2,Month-to-month,No,Credit card,Male,No,1,72.12
CUST100055,30,118.74,3583.84,Two year,Fiber optic,Credit card,Female,No,0,119.46133333333334
CUST100056,1,79.69,52.7,Month-to-month,Fiber optic,Bank transfer,Male,No,0,52.7
CUST100057,2,62.43,116.56,Month-to-month,Fiber optic,Mailed check,Male,No,1,58.28
CUST100058,0,61.25,0.68,Two year,DSL,Mailed check,Male,No,1,0.68
CUST100059,4,23.1,94.63,One year,Fiber optic,Mailed check,Male,No,1,23.6575
CUST100060,5,96.49,478.87,Month-to-month,DSL,Mailed check,Male,No,0,95.774
CUST100061,3,67.66,210.9,Month-to-month,DSL,Bank transfer,Male,No,0,70.3
CUST100062,21,64.59,1370.25,Month-to-month,DSL,Credit card,Female,No,1,65.25
CUST100063,5,165.79,843.64,Month-to-month,No,Mailed check,Female,No,1,168.728
CUST100064,3,78.96,217.16,Two year,DSL,Credit card,Female,No,0,72.38666666666667
CUST100065,9,47.45,421.37,Month-to-month,Fiber optic,Bank transfer,Female,No,1,46.81888888888889
CUST100066,1,57.21,81.11,One year,No,Electronic check,Female,No,0,81.11
CUST100067,19,104.45,2002.44,Two year,Fiber optic,Bank transfer,Female,No,0,105.39157894736843
CUST100068,0,73.4,-27.46,Month-to-month,Fiber optic,Mailed check,Male,Yes,1,-27.46
CUST100069,52,26.85,1403.23,Month-to-month,Fiber optic,Electronic check,Male,No,1,26.98519230769231
CUST100070,17,97.58,1619.3,Month-to-month,DSL,Bank transfer,Female,No,1,95.25294117647059
CUST100071,2,49.96,100.86,Two year,Fiber optic,Bank transfer,Female,No,1,50.43
CUST100072,0,126.2,37.96,One year,Fiber optic,Credit card,Female,No,1,37.96
CUST100073,20,102.4,2029.04,Month-to-month,No,Bank transfer,Male,No,1,101.452
CUST100074,14,56.58,775.43,One year,No,Electronic check,Male,No,1,55.387857142857136
CUST100075,15,108.43,1641.73,Month-to-month,No,Bank transfer,Male,No,1,109.44866666666667
CUST100076,17,72.04,1193.82,Two year,No,Mailed check,Male,No,0,70.22470588235294
CUST100077,0,95.58,-12.66,Month-to-month,Fiber optic,Credit card,Female,Yes,1,-12.66
CUST100078,5,84.54,434.63,Month-to-month,Fiber optic,Electronic check,Female,Yes,1,86.926
CUST100079,1,44.61,31.92,Two year,No,Electronic check,Female,No,1,31.92
CUST100080,23,50.69,1161.15,Month-to-month,Fiber optic,Bank transfer,Female,Yes,1,50.48478260869565
CUST100081,11,100.9,1124.78,Month-to-month,No,Mailed check,Male,Yes,1,102.25272727272727
CUST100082,4,59.96,248.27,Month-to-month,Fiber optic,Credit card,Male,No,0,62.0675
CUST100083,0,57.89,5.34,Month-to-month,Fiber optic,Electronic check,Female,No,1,5.34
CUST100084,4,41.35,158.62,Month-to-month,Fiber optic,Credit card,Male,No,1,39.655
