customerID,tenure,MonthlyCharges,TotalCharges,Contract,InternetService,PaymentMethod,gender,SeniorCitizen,churn
CUST100000,5,43.66,225.23,Two year,Fiber optic,Mailed check,Male,No,1
CUST100001,36,45.19,1677.07,Month-to-month,DSL,Bank transfer,Female,No,1
CUST100002,15,63.21,911.35,One year,Fiber optic,Electronic check,Female,No,0
CUST100003,10,81.02,809.55,Month-to-month,Fiber optic,Electronic check,Male,No,1
CUST100004,2,97.41,207.63,Month-to-month,No,Credit card,Female,No,1
CUST100005,2,45.9,94.26,Month-to-month,Fiber optic,Electronic check,Male,No,0
CUST100006,0,114.78,-2.26,Two year,No,Electronic check,Female,No,0
CUST100007,24,61.87,1458.9,Month-to-month,Fiber optic,Mailed check,Male,No,0
CUST100008,11,69.36,767.62,Two year,DSL,Bank transfer,Male,No,0
CUST100009,14,47.58,650.98,Month-to-month,DSL,Credit card,Female,No,0
CUST100010,0,10.0,-43.8,Month-to-month,Fiber optic,Credit card,Male,Yes,1
CUST100011,42,96.52,4077.73,Month-to-month,No,Electronic check,Male,No,1
CUST100012,21,92.11,1953.48,One year,No,Mailed check,Male,No,0
CUST100013,2,61.56,124.15,Month-to-month,DSL,Electronic check,Female,Yes,0
CUST100014,2,72.01,148.6,Two year,DSL,Electronic check,Female,No,1
CUST100015,2,85.48,192.45,Two year,DSL,Credit card,Male,No,1
CUST100016,4,23.12,96.97,Two year,No,Electronic check,Male,No,1
CUST100017,8,54.13,451.12,Month-to-month,No,Electronic check,Female,No,0
CUST100018,6,93.83,557.03,One year,Fiber optic,Mailed check,Female,No,1
CUST100019,4,32.37,155.72,One year,Fiber optic,Credit card,Female,No,1
CUST100020,11,78.81,873.33,Month-to-month,Fiber optic,Bank transfer,Male,No,1
CUST100021,1,29.3,33.18,One year,Fiber optic,Mailed check,Female,No,0
CUST100022,4,83.99,310.56,Month-to-month,DSL,Mailed check,Male,No,1
CUST100023,5,68.93,350.39,Month-to-month,Fiber optic,Mailed check,Female,No,1
CUST100024,7,21.55,134.21,Month-to-month,DSL,Credit card,Male,No,0
